Frame,Mode,Latency(s),Num_Objects
1,EDGE,0.09673094749450684,1
2,EDGE,0.04574704170227051,2
3,EDGE,0.040380001068115234,2
4,EDGE,0.040711164474487305,2
5,EDGE,0.03967785835266113,1
6,EDGE,0.03703808784484863,1
7,EDGE,0.03449702262878418,1
8,EDGE,0.03664898872375488,2
9,EDGE,0.04912281036376953,1
10,EDGE,0.04002976417541504,1
11,EDGE,0.043408870697021484,2
12,EDGE,0.03690981864929199,2
13,EDGE,0.0404207706451416,1
14,EDGE,0.035382986068725586,1
15,EDGE,0.032652854919433594,1
16,EDGE,0.03275275230407715,1
17,EDGE,0.03307080268859863,2
18,EDGE,0.03299212455749512,2
19,EDGE,0.040090084075927734,2
20,EDGE,0.03259897232055664,2
21,EDGE,0.03235483169555664,2
22,EDGE,0.03270912170410156,2
23,EDGE,0.03238821029663086,2
24,EDGE,0.03294730186462402,2
25,EDGE,0.0329737663269043,2
26,EDGE,0.032907962799072266,2
27,EDGE,0.03278064727783203,2
28,EDGE,0.032765865325927734,2
29,EDGE,0.03332686424255371,2
30,EDGE,0.03284120559692383,2
31,EDGE,0.03270316123962402,1
32,EDGE,0.032464027404785156,1
33,EDGE,0.03277301788330078,2
34,EDGE,0.03319597244262695,2
35,EDGE,0.03206610679626465,2
36,EDGE,0.034136056900024414,3
37,EDGE,0.03369498252868652,3
38,CLOUD,0.034770965576171875,4
39,EDGE,0.05822896957397461,3
40,EDGE,0.03467392921447754,3
41,EDGE,0.03238987922668457,3
42,EDGE,0.03232431411743164,3
43,EDGE,0.03202009201049805,3
44,EDGE,0.03305697441101074,3
45,EDGE,0.032988786697387695,3
46,CLOUD,0.032647132873535156,4
47,EDGE,0.0486299991607666,3
48,EDGE,0.03255319595336914,3
49,EDGE,0.03186774253845215,3
50,EDGE,0.0318448543548584,3
51,CLOUD,0.03175973892211914,4
52,EDGE,0.05478620529174805,3
53,EDGE,0.03537726402282715,1
54,EDGE,0.03125619888305664,1
55,EDGE,0.03145599365234375,2
56,EDGE,0.031100988388061523,3
57,EDGE,0.03126406669616699,3
58,EDGE,0.03151392936706543,2
59,EDGE,0.03173518180847168,3
60,EDGE,0.03122687339782715,2
61,EDGE,0.03179597854614258,3
62,EDGE,0.03143596649169922,3
63,EDGE,0.032158851623535156,2
64,EDGE,0.03176593780517578,2
65,EDGE,0.03189897537231445,2
66,EDGE,0.03202676773071289,1
67,EDGE,0.032182931900024414,2
68,EDGE,0.031683921813964844,2
69,EDGE,0.03147602081298828,2
70,EDGE,0.03196096420288086,1
71,EDGE,0.031587839126586914,1
72,EDGE,0.03174114227294922,1
73,EDGE,0.03152275085449219,1
74,EDGE,0.03135991096496582,2
75,EDGE,0.03149914741516113,2
76,EDGE,0.03183913230895996,3
77,EDGE,0.03156280517578125,1
78,EDGE,0.032073259353637695,2
79,EDGE,0.031868934631347656,2
80,EDGE,0.03183579444885254,1
81,EDGE,0.032196998596191406,2
82,EDGE,0.03150510787963867,1
83,EDGE,0.031674861907958984,2
84,EDGE,0.031297922134399414,1
85,EDGE,0.032829999923706055,1
86,EDGE,0.03167009353637695,1
87,EDGE,0.031897783279418945,1
88,EDGE,0.0317838191986084,1
89,EDGE,0.032231807708740234,2
90,EDGE,0.03244805335998535,1
91,EDGE,0.032917022705078125,1
92,EDGE,0.03302407264709473,2
93,EDGE,0.03347587585449219,2
94,EDGE,0.032280921936035156,1
95,EDGE,0.03370785713195801,2
96,EDGE,0.03328514099121094,2
97,EDGE,0.03281569480895996,2
98,EDGE,0.03416013717651367,2
99,EDGE,0.0330202579498291,2
100,EDGE,0.034700870513916016,2
101,EDGE,0.0355839729309082,2
102,EDGE,0.03403902053833008,1
103,EDGE,0.034069061279296875,1
104,EDGE,0.0350041389465332,2
105,EDGE,0.03354501724243164,2
106,EDGE,0.0349271297454834,2
107,EDGE,0.03246307373046875,1
108,EDGE,0.03244328498840332,1
109,EDGE,0.032295942306518555,1
110,EDGE,0.03323984146118164,2
111,EDGE,0.0347599983215332,2
112,EDGE,0.03467988967895508,2
113,EDGE,0.03275585174560547,2
114,EDGE,0.034345149993896484,2
115,EDGE,0.032147884368896484,1
116,EDGE,0.03468608856201172,1
117,EDGE,0.03349924087524414,1
118,EDGE,0.03227496147155762,1
119,EDGE,0.032418012619018555,1
120,EDGE,0.032019853591918945,1
121,EDGE,0.03468489646911621,1
122,EDGE,0.03273320198059082,1
123,EDGE,0.03243899345397949,1
124,EDGE,0.032421112060546875,2
125,EDGE,0.032737016677856445,1
126,EDGE,0.032701969146728516,1
127,EDGE,0.03215503692626953,1
128,EDGE,0.03392314910888672,1
129,EDGE,0.032202959060668945,1
130,EDGE,0.032894134521484375,1
131,EDGE,0.03263592720031738,1
132,EDGE,0.03237295150756836,1
133,EDGE,0.03262591361999512,1
134,EDGE,0.032591819763183594,1
135,EDGE,0.032752037048339844,1
136,EDGE,0.03243422508239746,1
137,EDGE,0.03242087364196777,1
138,EDGE,0.03239583969116211,1
139,EDGE,0.03279685974121094,2
140,EDGE,0.03239798545837402,2
141,EDGE,0.041806697845458984,1
142,EDGE,0.03492403030395508,3
143,EDGE,0.03247809410095215,1
144,EDGE,0.03242182731628418,1
145,EDGE,0.03249788284301758,2
